Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
VIMALAKIRTI BUDDHIST CENTRE,S63SS0041J,"Public awareness, promotion & advisory",27/9/1985,"$5,000,000 and <$10,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
VENTURE MUSIC ASIA LTD.,201733785K,"Public awareness, promotion & advisory",02/11/2021,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
Tuas Pek Kong Keng Management Council,S83SS0028K,"Public awareness, promotion & advisory",05/8/1986,"$5,000,000 and <$10,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
TTSH COMMUNITY FUND,201400920N,Research,16/5/2014,"$5,000,000 and <$10,000,000",Health,Registered with IPC,Cluster/Hospital Funds,Ministry of Health
Tse Tho Aum Temple,S92SS0024B,"Public awareness, promotion & advisory",12/11/1992,"$5,000,000 and <$10,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
TRYBE LIMITED,199507763G,Direct Services,24/1/1996,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
TRUE WAY PRESBYTERIAN CHURCH - ENGLISH CONGREGATION,T12SS0173B,Direct Services,24/7/1993,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TRUE GRACE PRESBYTERIAN CHURCH,T12SS0075C,Direct Services,01/12/1990,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TRINITY THEOLOGICAL COLLEGE,T01CC1488C,Training & education,02/2/2001,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TRINITY METHODIST CHURCH,S87CC0538F,"Financial assistance, bursaries & scholarships",03/12/1987,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Trans Family Services,S88SS0005D,Direct Services,17/4/1991,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Family,Ministry of Social and Family Development
TRAILBLAZER FOUNDATION LTD.,200208130H,"Financial assistance, bursaries & scholarships",19/11/2002,"$5,000,000 and <$10,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
TOTAL WELL-BEING SG LIMITED,202004085K,Direct Services,19/4/2021,"$5,000,000 and <$10,000,000",Health,Registered with IPC,Other Community-based Services,Ministry of Health
TOMOWORK LTD.,202136357H,,18/8/2022,"$5,000,000 and <$10,000,000",,Registered,Disability (Adult),Ministry of Social and Family Development
TOA PAYOH METHODIST CHURCH (TRAC),S87CC0509J,Direct Services,05/10/1987,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
THYE HUA KWAN NURSING HOME LIMITED,201323219Z,Direct Services,29/12/2014,"$5,000,000 and <$10,000,000",Health,Registered with IPC,Nursing Home,Ministry of Health
Thye Hua Kwan Moral Society,S78SS0031K,Direct Services,26/4/1991,"$5,000,000 and <$10,000,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
THEKCHEN CHOLING SINGAPORE LTD.,202005191K,Direct Services,26/7/2021,"$5,000,000 and <$10,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
THEATREWORKS (SINGAPORE) LTD.,199001149D,,03/7/1991,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
THE UWCSEA FOUNDATION LIMITED,200404580M,Training & education,28/7/2004,"$5,000,000 and <$10,000,000",Education,Registered,Foreign Educational Institutions/Funds,Ministry of Education
THE THEATRE PRACTICE LTD.,198801755D,Research,27/11/1990,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
THE SINGAPORE CHESHIRE HOME,195700160W,Direct Services,25/11/1983,"$5,000,000 and <$10,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
THE SILENT FOUNDATION LTD.,201014929C,Grantmaking,08/11/2010,"$5,000,000 and <$10,000,000",Others,Registered,Animal Welfare,"Ministry of Culture, Community and Youth"
THE RICE COMPANY LIMITED,201408699H,Training & education,24/4/2014,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Music & Orchestras,"Ministry of Culture, Community and Youth"
The Presbyterian Church in Singapore,S61SS0155A,Direct Services,08/3/1989,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
THE NECESSARY STAGE LTD,199202435N,Direct Services,06/5/1995,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
THE MOH FAMILY FOUNDATION LIMITED,202101573D,Grantmaking,23/9/2021,"$5,000,000 and <$10,000,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
THE MAJURITY TRUST LIMITED,201734370C,Direct Services,29/10/2018,"$5,000,000 and <$10,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
THE LIBRARY FUND,T03CC1744D,Direct Services,26/11/2003,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
"THE LAW SOCIETY OF SINGAPORE PRO BONO, LEARNING AND SUPPORT SERVICES",T07CC2064L,Direct Services,08/10/2007,"$5,000,000 and <$10,000,000",Others,Deregistered,Humanitarian Aid,"Ministry of Culture, Community and Youth"
THE INTERNATIONAL UNION AGAINST TUBERCULOSIS AND LUNG DISEASE ASIA PACIFIC LIMITED,200919200E,Grantmaking,21/1/2015,"$5,000,000 and <$10,000,000",Sports,Registered,Others,Ministry of Health
THE INSTITUTE OF BANKING AND FINANCE,197402045E,Training & education,24/3/1993,"$5,000,000 and <$10,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
THE HOKKIEN FOUNDATION,197701426D,"Financial assistance, bursaries & scholarships",21/8/1984,"$5,000,000 and <$10,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
THE HEAD FOUNDATION,201306160D,Research,07/8/2013,"$5,000,000 and <$10,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
THE GROUND CO LIMITED,201632916C,"Public awareness, promotion & advisory",22/1/2018,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,Others,"Ministry of Culture, Community and Youth"
THE GLAD TIDINGS LIMITED,197300541W,Direct Services,16/4/1986,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
THE 'FISHERMAN OF CHRIST' FELLOWSHIP LTD,198303120W,,09/3/1985,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TEMASEK POLYTECHNIC GENERAL EDUCATION FUND,T08CC3020C,"Financial assistance, bursaries & scholarships",,"$5,000,000 and <$10,000,000",Education,Exempt Charity with IPC,Local Educational Institutions/Funds,Ministry of Education
TEMASEK FOUNDATION NURTURES CLG LIMITED,201108956W,Grantmaking,26/5/2011,"$5,000,000 and <$10,000,000",Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
TEMASEK FOUNDATION INNOVATES CLG LIMITED,201503610K,Grantmaking,27/3/2017,"$5,000,000 and <$10,000,000",Others,Deregistered,Environment,"Ministry of Culture, Community and Youth"
TELOK AYER CHINESE METHODIST CHURCH AND TELOK AYER CHINESE METHODIST CHURCH (TA2 SANCTUARY),S87CC0516D,"Financial assistance, bursaries & scholarships",28/10/1987,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TANOTO FOUNDATION,200102735H,,07/6/2002,"$5,000,000 and <$10,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
TAN TOCK SENG HOSPITAL COMMUNITY CHARITY FUND,T00CC1465L,"Public awareness, promotion & advisory",17/10/2000,"$5,000,000 and <$10,000,000",Unclassified,Deregistered,,Ministry of Health
TAN NGAK BUAY & KEE MENG LANG FOUNDATION LIMITED,201612738D,Grantmaking,21/6/2017,"$5,000,000 and <$10,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
TAN EAN KIAM FOUNDATION,195600007Z,"Financial assistance, bursaries & scholarships",26/4/1984,"$5,000,000 and <$10,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Tai Pei Old People's Home,S80SS0149C,Direct Services,21/8/1984,"$5,000,000 and <$10,000,000",Health,Registered with IPC,Home Care,Ministry of Health
TABUNG AMAL AIDILFITRI TRUST FUND,T06CC1974E,"Financial assistance, bursaries & scholarships",30/6/2006,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
SUN-DAC,S93SS0060K,Direct Services,25/6/1993,"$5,000,000 and <$10,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
St. John's Home for Elderly Persons,S61SS0176G,Direct Services,12/3/1988,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Eldercare,Ministry of Social and Family Development
St. Hilda's Community Services Centre,T01SS0118K,Direct Services,26/2/2002,"$5,000,000 and <$10,000,000",Health,Registered with IPC,Other Community-based Services,Ministry of Health
St John's Chapel,T08CC4079E,Direct Services,,"$5,000,000 and <$10,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
St James' Church,T08CC4077B,Direct Services,,"$5,000,000 and <$10,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
St Hilda's Church,T08CC4076F,Training & education,,"$5,000,000 and <$10,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
ST ANDREW'S CATHEDRAL MANDARIN CONGREGATION,T08CC4056G,,,"$5,000,000 and <$10,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
SRI KRISHNAN TEMPLE,S91CC0832J,Direct Services,05/9/1991,"$5,000,000 and <$10,000,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
SREE MAHA MARIAMMAN TEMPLE,S65SS0041H,Direct Services,18/12/1985,"$5,000,000 and <$10,000,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
SPH FOUNDATION LIMITED,200300910M,"Financial assistance, bursaries & scholarships",15/4/2003,"$5,000,000 and <$10,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
SPECIAL NEEDS TRUST COMPANY LIMITED,200812120W,Direct Services,01/8/2008,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
SOUTH CENTRAL COMMUNITY FAMILY SERVICE CENTRE LIMITED,201301276N,"Public awareness, promotion & advisory",20/6/2013,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Society of St. Vincent De Paul (National Council of Singapore),S61SS0149B,Direct Services,05/3/1986,"$5,000,000 and <$10,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Society of Sheng Hong Welfare Services,T00SS0066C,Direct Services,05/11/1999,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
SOCIETY OF JESUS (SINGAPORE) LIMITED,201133829K,Direct Services,18/5/2012,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, SINGAPORE",S61SS0060B,Direct Services,25/4/1984,"$5,000,000 and <$10,000,000",Others,Registered with IPC,Animal Welfare,"Ministry of Culture, Community and Youth"
Society for The Aged Sick,S68SS0022J,Direct Services,06/2/1984,"$5,000,000 and <$10,000,000",Health,Registered with IPC,Nursing Home,Ministry of Health
SNEC HEALTH RESEARCH ENDOWMENT FUND,T02CC1574K,Training & education,08/6/2002,"$5,000,000 and <$10,000,000",Health,Registered with IPC,Cluster/Hospital Funds,Ministry of Health
Singapore Youth for Christ,S60SS0017K,Direct Services,03/8/1988,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SINGAPORE TYLER PRINT INSTITUTE,200008878C,"Public awareness, promotion & advisory",22/12/2000,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Visual Arts,"Ministry of Culture, Community and Youth"
SINGAPORE TEOCHEW FOUNDATION LIMITED,201027503Z,"Financial assistance, bursaries & scholarships",25/3/2011,"$5,000,000 and <$10,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Singapore Tennis Association,S62SS0049E,Training & education,31/12/2010,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
SINGAPORE TECHNOLOGIES ENDOWMENT PROGRAMME LIMITED,199703832N,,02/5/1998,"$5,000,000 and <$10,000,000",Social and Welfare,Deregistered,Children/Youth,"Ministry of Culture, Community and Youth"
SINGAPORE TAXI ACADEMY,200306728C,Direct Services,30/7/2003,"$5,000,000 and <$10,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Singapore Table Tennis Association,S65SS0005E,Training & education,01/1/2011,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
"Singapore Shooting Association, The",S65SS0039D,,03/5/2011,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
"SINGAPORE SCOUT ASSOCIATION, THE",S85CC0196D,Training & education,29/6/1985,"$5,000,000 and <$10,000,000",Education,Registered with IPC,Uniformed Groups,Ministry of Education
Singapore Sailing Federation,S66SS0013A,Training & education,31/8/2009,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
SINGAPORE RUGBY UNION,S66SS0003G,Training & education,30/11/2010,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
SINGAPORE REPERTORY THEATRE LTD,199301614N,Direct Services,03/10/2001,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
SINGAPORE POLYTECHNIC ENDOWMENT FUND,T08CC3015L,Training & education,,"$5,000,000 and <$10,000,000",Education,Exempt Charity with IPC,Local Educational Institutions/Funds,Ministry of Education
SINGAPORE MILLENNIUM FOUNDATION LIMITED,200102355R,,18/6/2001,"$5,000,000 and <$10,000,000",Others,Deregistered,Think Tanks,"Ministry of Culture, Community and Youth"
Singapore Life Church,S61SS0180C,Direct Services,26/10/1984,"$5,000,000 and <$10,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"Singapore Indian Fine Arts Society, The",S62SS0048J,Direct Services,23/2/2006,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
Singapore Hockey Federation,S92SS0120J,"Public awareness, promotion & advisory",10/12/2010,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
SINGAPORE GYMNASTICS,T03SS0136E,,10/12/2010,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
Singapore Golf Association,S61SS0189L,Direct Services,12/1/2011,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
SINGAPORE ENVIRONMENT COUNCIL,199507762R,"Public awareness, promotion & advisory",05/3/1996,"$5,000,000 and <$10,000,000",Others,Registered with IPC,Environment,"Ministry of Culture, Community and Youth"
Singapore Dragon Boat Association,S87SS0101F,,31/12/2010,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
Singapore Disability Sports Council,S73SS0035B,Training & education,28/11/1984,"$5,000,000 and <$10,000,000",Sports,Registered with IPC,Disability Sports,Sport Singapore
"Singapore Cricket Association, The",S65SS0010H,Training & education,01/2/2011,"$5,000,000 and <$10,000,000",Sports,Registered,NSAs,Sport Singapore
Singapore Council of Women's Organisations,S80SS0026C,Direct Services,15/3/2021,"$5,000,000 and <$10,000,000",Social and Welfare,Registered with IPC,Family,Ministry of Social and Family Development
SINGAPORE CHINESE CULTURAL CENTRE,201309577Z,Direct Services,20/1/2014,"$5,000,000 and <$10,000,000",Arts and Heritage,Registered with IPC,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION,196600028C,"Public awareness, promotion & advisory",07/8/1984,"$5,000,000 and <$10,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
